"äRK","[+0000, +0000, +0150, +0150],['http://chronontology.dainst.org/period/uFnghlwMhG4M']"
"äRK","[+0000, +0000, +0160, +0160],['http://chronontology.dainst.org/period/cwDWOmqNHUiR']"
"äRK","[+0000, +0000, +0160, +0160],['http://chronontology.dainst.org/period/J1cJ1N5Azog9']"
"äRK","[+0000, +0000, +0200, +0200],['http://chronontology.dainst.org/period/eE6CJ4cCeKxI']"
"äRKZ","[+0000, +0000, +0260, +0260],['http://chronontology.dainst.org/period/gvVmfpxCNTDe']"
"Artinskium","[-290100000, -290100000, -279300000, -279300000],['http://chronontology.dainst.org/period/P6d4iRsuPvRm']"
"Asselium","[-298900000, -298900000, -295500000, -295500000],['http://chronontology.dainst.org/period/KCqkRANfR6Dk']"
"äSZ","[+0600, +0600, +0800, +0800],['http://chronontology.dainst.org/period/OEulnRMWblfm']"
"Augusteisch","[-0026, -0026, +0014, +0014],['http://chronontology.dainst.org/period/iuEFLUcs4GjW']"
"Augusteisch","[-0027, -0027, +0014, +0014],['http://chronontology.dainst.org/period/izNtpADTHEE3']"
"Augusteische Zeit","[-0027, -0027, +0014, +0014],['http://chronontology.dainst.org/period/izNtpADTHEE3']"
"äVZ","[-0550, -0550, -0300, -0300],['http://chronontology.dainst.org/period/UcS4HMKupZ1k']"
"äVZ","[-0550, -0550, -0300, -0300],['http://chronontology.dainst.org/period/xJKgOtJr03G2']"
"äVZ","[-0600, -0600, -0300, -0300],['http://chronontology.dainst.org/period/INuuDZ9EvQoA']"
"Bajoc","[-170300000, -170300000, -168300000, -168300000],['http://chronontology.dainst.org/period/14RzCAdnXMDb']"
"Bajocien","[-170300000, -170300000, -168300000, -168300000],['http://chronontology.dainst.org/period/14RzCAdnXMDb']"
"Bajocium","[-170300000, -170300000, -168300000, -168300000],['http://chronontology.dainst.org/period/14RzCAdnXMDb']"
"Barrême","[-130800000, -130800000, -126300000, -126300000],['http://chronontology.dainst.org/period/tNQwNdBsAyfh']"
"Barremium","[-130800000, -130800000, -126300000, -126300000],['http://chronontology.dainst.org/period/tNQwNdBsAyfh']"
"Barton","[-41200000, -41200000, -37800000, -37800000],['http://chronontology.dainst.org/period/iQasVPXFPCfA']"
"Bartonium","[-41200000, -41200000, -37800000, -37800000],['http://chronontology.dainst.org/period/iQasVPXFPCfA']"
"Bashkirium","[-323200000, -323200000, -315200000, -315200000],['http://chronontology.dainst.org/period/eDxXBMvsymaw']"
"Bathon","[-168300000, -168300000, -166100000, -166100000],['http://chronontology.dainst.org/period/KZpeGhhvC609']"
"Bathonium","[-168300000, -168300000, -166100000, -166100000],['http://chronontology.dainst.org/period/KZpeGhhvC609']"
"Berrias","[-145000000, -145000000, -139400000, -139400000],['http://chronontology.dainst.org/period/RC2CxctrecRo']"
"Berriasien","[-145000000, -145000000, -139400000, -139400000],['http://chronontology.dainst.org/period/RC2CxctrecRo']"
"Berriasium","[-145000000, -145000000, -139400000, -139400000],['http://chronontology.dainst.org/period/RC2CxctrecRo']"
"Brauner Jura","[-174100000, -174100000, -163500000, -163500000],['http://chronontology.dainst.org/period/EQtTUv1GDT7P']"
"Braunjura","[-174100000, -174100000, -163500000, -163500000],['http://chronontology.dainst.org/period/EQtTUv1GDT7P']"
"Bronzezeit","[-1700, -1700, -0550, -0550],['http://chronontology.dainst.org/period/AoSJ9arScQbv']"
"Bronzezeit","[-1900, -1900, -0750, -0750],['http://chronontology.dainst.org/period/rNwD0cW5qQm4']"
"Bronzezeit","[-2000, -2000, -0550, -0550],['http://chronontology.dainst.org/period/L1uowBkadSSy']"
"Bronzezeit","[-2000, -2000, -0550, -0550],['http://chronontology.dainst.org/period/Xtd5hKKkUagc']"
