"Anti-Kine-Killing Agitation, 1880-1894","[+1880, +1880, +1894, +1894]"
"Anti-Kine-Killing Movement, 1880-1894","[+1880, +1880, +1894, +1894]"
"Anti-terrorist operations, 2001-","[+2001, +2001, +2015, +2015]"
"Antiquité tardive","[+0300, +0300, +0499, +0499]"
"Antiquity","[-0600, -0600, +0499, +0499]"
"Antirightist Campaign, 1957-1958","[+1957, +1957, +1958, +1958]"
"Antislavery movement, 1830-1863","[+1830, +1830, +1863, +1863]"
"Antislavery movements","[+1830, +1830, +1863, +1863]"
"Antonine period","[+0138, +0138, +0192, +0192]"
"Antonine","[+0138, +0138, +0192, +0192]"
"Antonine","[+0138, +0138, +0192, +0192]"
"Antonine","[+0138, +0138, +0193, +0193]"
"Antonines Dynasty","[+0138, +0138, +0192, +0192]"
"Antonines, 96-192","[+0096, +0096, +0192, +0192]"
"Antoninus Pius, 138-161","[+0138, +0138, +0161, +0161]"
"Any Archaic Period","[-8050, -8050, -1050, -1050]"
"Any Woodland Period","[-1050, -1050, +1150, +1150]"
"Anyang (Shang style)","[-1384, -1384, -0111, -0111]"
"Anyang","[-1299, -1299, -1049, -1049]"
"Anyanya Rebellion, 1955-1972","[+1955, +1955, +1972, +1972]"
"Ao Kutani","[+1600, +1600, +1699, +1699]"
"Apalachee","[+1250, +1250, +1600, +1600]"
"Apennine","[-1690, -1690, -0660, -0660]"
"Aphrodisian","[-0100, -0100, +0500, +0500]"
"Apostolic Church","[+0030, +0030, +0600, +0600]"
"Aptian","[-126300000, -126300000, -113000000, -113000000]"
"Apulian (pottery style)","[-0400, -0400, -0300, -0300]"
"Aq Qoyunlu","[+1378, +1378, +1508, +1508]"
"Aqsa Intifada, 2000-","[+2000, +2000, +2015, +2015]"
"Aquitanian","[-23030000, -23030000, -20440000, -20440000]"
"Arab Conflict","[+0647, +0647, +0965, +0965]"
"Arab period, 640-885","[+0640, +0640, +0885, +0885]"
"Arab period, Spain, 711-1492","[+0711, +0711, +1492, +1492]"
"Arab period","[+0653, +0653, +1150, +1150]"
"Arab period","[+0711, +0711, +1492, +1492]"
"Arab rebellion, 1936-1939","[+1936, +1936, +1939, +1939]"
"Arab Revolt, 1916-1918","[+1916, +1916, +1918, +1918]"
"Arab rule, 826-961","[+0826, +0826, +0961, +0961]"
"Arab Spring, 2010-","[+2010, +2010, +2015, +2015]"
"Arab-Israel War, 1948-1949","[+1948, +1948, +1949, +1949]"
"Arab-Sasanian","[+0651, +0651, +0794, +0794]"
"Arabian (culture)","[-4500, -4500, +0699, +0699]"
"Aragonese and Spanish rule, 1297-1708","[+1297, +1297, +1708, +1708]"
"Arameans","[-1100, -1100, -0720, -0720]"
"Ararat Rebellion, 1927-1930","[+1927, +1927, +1930, +1930]"
"Arcadius, 395-408","[+0395, +0395, +0408, +0408]"
"Archaean","[-4000000000, -4000000000, -2500000000, -2500000000]"
"Archaemenid","[-0549, -0549, -0329, -0329]"
"Archaic (8500 - 1201 B.C.)","[-8500, -8500, -1201, -1201]"
"Archaic (Cypro-Archaic) I","[-0749, -0749, -0599, -0599]"
"Archaic (Cypro-Archaic) I","[-0750, -0750, -0601, -0601]"
"Archaic (Cypro-Archaic) II","[-0599, -0599, -0474, -0474]"
"Archaic (Cypro-Archaic) II","[-0600, -0600, -0476, -0476]"
"Archaic (Greco-Roman; 750-550 BCE/BC)","[-0750, -0750, -0550, -0550]"
"Archaic (North American)","[-8000, -8000, -2000, -2000]"
"Archaic Age","[-0619, -0619, -0479, -0479]"
"Archaic Age","[-0750, -0750, -0500, -0500]"
"Archaic Greece","[-0750, -0750, -0500, -0500]"
"Archaic Greek","[-0699, -0699, -0479, -0479]"
